ShipmentNumber,EventSequenceNumber,StatusCode,StatusDescription,EventDateTime,LocationCode,ScanType,EventSource,ExceptionCode,Notes
SHP0000001,1,CREATED,Shipment created in transportation management system.,2025-02-05 11:07:00,DAL_DC,System,TMS,,
SHP0000001,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-02-05 12:07:00,DAL_DC,System,TMS,,
SHP0000001,3,PICKED_UP,Shipment picked up from origin facility.,2025-02-05 21:38:07,DAL_DC,Scan,Handheld,,
SHP0000001,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-02-05 23:41:03,DAL_DC,Scan,Handheld,,
SHP0000001,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-02-05 18:48:38,HOU_HUB,Scan,EDI,,
SHP0000001,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-02-06 00:26:00,HOU_HUB,Scan,Handheld,,
SHP0000001,7,DELIVERED,Shipment delivered to customer.,2025-02-06 02:07:00,HOU_HUB,Delivery,Handheld,,
SHP0000002,1,CREATED,Shipment created in transportation management system.,2025-03-27 00:09:00,SLC_HUB,System,TMS,,
SHP0000002,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-03-27 01:09:00,SLC_HUB,System,TMS,,
SHP0000002,3,PICKED_UP,Shipment picked up from origin facility.,2025-03-27 17:02:23,SLC_HUB,Scan,Handheld,,
SHP0000002,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-03-27 18:49:47,SLC_HUB,Scan,Handheld,,
SHP0000002,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-03-27 21:03:54,DEN_DC,Scan,EDI,,
SHP0000002,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-03-27 20:16:47,DEN_DC,Scan,Handheld,,
SHP0000002,7,DELIVERED,Shipment delivered to customer.,2025-03-28 01:28:53,DEN_DC,Delivery,Handheld,,
SHP0000003,1,CREATED,Shipment created in transportation management system.,2025-04-29 07:37:00,OMA_HUB,System,TMS,,
SHP0000003,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-04-29 08:37:00,OMA_HUB,System,TMS,,
SHP0000003,3,PICKED_UP,Shipment picked up from origin facility.,2025-04-29 23:23:46,OMA_HUB,Scan,Handheld,,
SHP0000003,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-04-30 00:28:04,OMA_HUB,Scan,Handheld,,
