ShipmentNumber,ExceptionCode,ExceptionDescription,ExceptionCategory,SeverityCode,ExceptionStatus,ExceptionDateTime,ResolvedDateTime,DelayMinutesImpact,ResponsibleParty,Notes
SHP0000008,MSCN,Missed Scan,Process,Medium,Closed,2025-06-15 03:33:49,2025-06-15 14:36:43,331,Operations,Expected scan was not captured on time.
SHP0000011,ADDR,Address Issue,Address,Medium,Closed,2025-05-23 16:01:03,2025-05-24 17:19:52,1258,Customer,Delivery address requires correction or validation.
SHP0000013,MSCN,Missed Scan,Process,Medium,Closed,2025-04-20 18:59:06,2025-04-21 09:45:15,318,Operations,Expected scan was not captured on time.
SHP0000027,DAMG,Damaged Shipment,Damage,High,Closed,2025-06-18 20:20:06,2025-06-20 18:55:30,1912,Carrier,Shipment flagged for damage inspection.
SHP0000028,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-08-15 12:44:41,2025-08-16 09:55:06,536,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000033,MSCN,Missed Scan,Process,Medium,Closed,2025-04-03 04:00:48,2025-04-03 15:22:47,420,Operations,Expected scan was not captured on time.
SHP0000034,MECH,Equipment Failure,Mechanical,High,Open,2025-01-18 05:48:31,,1185,Carrier,Equipment failure caused an operational delay.
SHP0000036,WX,Weather Delay,Weather,High,Closed,2025-03-18 14:58:28,2025-03-18 23:06:43,393,Carrier,Shipment delayed because of weather conditions.
SHP0000037,WX,Weather Delay,Weather,High,Closed,2025-03-25 00:19:46,2025-03-25 18:08:21,869,Carrier,Shipment delayed because of weather conditions.
SHP0000039,WX,Weather Delay,Weather,High,Closed,2025-06-21 20:54:40,2025-06-22 18:42:59,1083,Carrier,Shipment delayed because of weather conditions.
SHP0000041,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-02-12 09:42:50,2025-02-13 02:10:07,358,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000044,ADDR,Address Issue,Address,Medium,Closed,2025-02-23 23:26:22,2025-02-24 16:20:26,662,Customer,Delivery address requires correction or validation.
SHP0000045,ADDR,Address Issue,Address,Medium,Closed,2025-04-16 05:11:08,2025-04-16 16:06:01,325,Customer,Delivery address requires correction or validation.
SHP0000046,MSCN,Missed Scan,Process,Medium,Closed,2025-08-16 00:30:33,2025-08-16 04:16:25,160,Operations,Expected scan was not captured on time.
SHP0000052,MSCN,Missed Scan,Process,Medium,Closed,2025-09-28 21:28:08,2025-09-29 12:06:40,238,Operations,Expected scan was not captured on time.
SHP0000054,MECH,Equipment Failure,Mechanical,High,Open,2025-02-23 07:31:52,,449,Carrier,Equipment failure caused an operational delay.
SHP0000057,WX,Weather Delay,Weather,High,Open,2025-02-05 04:17:59,,1211,Carrier,Shipment delayed because of weather conditions.
SHP0000058,ADDR,Address Issue,Address,Medium,Closed,2025-08-08 02:29:54,2025-08-08 23:30:15,579,Customer,Delivery address requires correction or validation.
SHP0000059,ADDR,Address Issue,Address,Medium,Closed,2025-03-09 10:16:43,2025-03-09 22:28:56,182,Customer,Delivery address requires correction or validation.
SHP0000068,WX,Weather Delay,Weather,High,Closed,2025-02-01 17:55:26,2025-02-02 21:58:47,1679,Carrier,Shipment delayed because of weather conditions.
SHP0000070,WX,Weather Delay,Weather,High,Closed,2025-08-11 18:59:56,2025-08-13 03:09:14,1200,Carrier,Shipment delayed because of weather conditions.
